nickname,add1,add2,add3,city,tel,area,tinno,mobile
SHRI AMBICA AUTO CENTRE - NAKHATRANA, , , ,  ,       ,NAKHTRANA, , 
SHRI AMBICA AUTO PARTS - VASO,"VASO ALINDRA ROAD,","CHAR RASTA,",,VASO   387 380,0268-2585172   ,VASO,,
SHRI AMBICA AUTO PARTS - VIJAPUR,NEAR HIGHWAY HOTEL,HIMATNAGAR HIGHWAY ROAD, ,Vijapur    ,       ,VIJAPUR, , 
"SHRI AMBICA AUTO, -  ","N.H.NO.8,", , ,   ,       ,Base Area, , 
SHRI AMBICA AUTOMOBILES - AHMEDABAD,"NR. MEMCO BUS STAND,","NARODA,", ,Ahmedabad  380 025 ,"2821263,2815269      ",NARODA, , 
SHRI AMBICA AUTOMOBILES - NANACHILODA,"NEAR POWER HOUSE,","OPP. CNG PETROL PUMP,","N. H. NO. 8, NANA CHILODA",Ahmedabad  ,9426420090 9925410548  ,NARODA,24072600252 ,"9426420090 , 9925410548"
SHRI AMBICA BATTERY & DYNAMO WORKS,"SHOP NO.9/10 ,","B.K. CINEMA MARKET,","KHERAJU ROAD,",Visnagar   384 315,02765-221231   ,VISNAGAR,,9427082082
SHRI AMBIKA  AUTOMOBILES - BARDOLI,"OPP G.E.B.,","SURAT ROAD,", ,Bardoli    ,(O):20999-22999  (R):20899    ,bardoli, , 
SHRI AMBIKA AUTO STORES - SARKHEJ,"NEAR APSARA HOTEL,","BAVLA ROAD,","SARKHEJ,",Ahmedabad  382 210 ,6891253      ,SARKHEJ, , 
SHRI AMRUT AUTOMOBILES - BARODA,"B/19, NANJI CHAMBER,","BAHUCHARAJI ROAD,","KARELI BAUG,",Baroda 390 018,0265-2461558 3010444  ,BARODA,,9374011728
Shri Arbuda Motors Pvt Ltd - Gandhinagar,"RIDDHI,  ","E-19/10/B, GIDC,","Sector 26, Near K-7,",Gandhi Nagar ,23288994 23288995  ,ADALAJ,24071801680,9825041331 / 9824982297
SHRI ARIHANT MOTORS -  AHMEDABAD,"10, PUNJAB HOUSE,OPP.NEW UJALA HOTEL","BAVLA HIGHWAY,","SARKHEJ,",Ahmedabad  382 210,       ,SARKHEJ, , 
SHRI BALAVI AUTOMOBILES - BHATIA,"HARSHAD ROAD,",NEAR SCABLE,TAL. KALYANPUR,BHATIYA  361 315,9428125632   ,BHATIYA,NO TIN,9428125632
Shri Brahmani Motors - Adalaj," Balapir Chokdi,"," Opp Ambica Restaurant,"," Adalaj,  ",Ahmedabad ,  9825448562    ,ADALAJ, 24060302513,9825448562
SHRI BRAHMANI OIL & AUTO PARTS - JASODANAGAR,"21, PUSHP RAJ COMPLEX,","OPP. M.B. PATEL FARM,",JASHODA NAGAR CHAR RASTA,Ahmedabad ,9998676843   ,NAROL,,9998676843
SHRI CHAMUNDA AUTO PARTS - MEHSANA,"G-4, CLASSIC PLAZA,","OPP. MANILAL APPOLO HOUSE,",HIGHWAY,Mehsana   ,   ,Mehsana,,9825815386 / 9925051205
SHRI CHAMUNDA AUTO PARTS - UMRETH," VRAJ BHUMI,"," OPP. HIRA MOTI HOTEL,","UMRETH DAKOR ROD,",Umreth    388220,9428488071   ,UMRETH,24150400424 ,9428422071 / 98241 94674
SHRI CHINTAMANI PARSWANATH TRACTORS - CHHANI,"OPP. WEIGH BRIDGE,","N. H. NO.8,", ,Chhani   391 740 ,(0265)772087 (O ) 2532477(R)    ,CHHANI, ,9825036534  
SHRI DHANLAXMI AUTO - AHMEDABAD,"NR. K.D.GARDEN RESTAURANT,","OPP.SAMRAT NAGAR,","N.H.NO.8, ISANPUR",Ahmedabad  ,25730105   ,NAROL, NO TIN,9824119625
SHRI ENTERPRISE - RAJKOT,"2, VIJAY PLOT CORNER,","GONDAL ROAD,",,Rajkot   ,0281-2466323   ,rajkot,24090703740,
SHRI GAURAV AUTOMOBILES - PORBANDAR,"RAM TEKRI,","NR. ABOTI BRAHMIN BOARDING,","G.E.B. ROAD,",Porbandar 360 575,2240292   ,PORBANDER,24110101641,9428249188
SHRI GAURAV MOTOR STORES - PORBANDAR,"SHAILESHBHAI , A-35, MARKET YARD,","OPP. ROKADIYA HANUMAN,",PORBANDAR,Porbandar ,9426437497   ,PORBANDER,24110102804,"9426437497, 9737666708"
SHRI GAYATRI AUTO ELE.SALES & SERVICE -  ,"THAKAR COMPLEX,","OPP. DHARAM COMPLEX,","MADHAPAR HIGHWAY,",Madhapar    ,27809      ,MADHAPAR, , 
SHRI GAYATRI AUTO ELECTRIC -  ,"THAKAR COMPLEX,","OPP. DHARAM COMPLEX,","MADHAPAR HIGHWAY,",Madhapar    ,(02832)O-27809      ,MADHAPAR, , 
SHRI HARI AUM AUTOMOBILES - PORBANDAR,"NATIONAL HIGHWAY, OPP, MADHAVANI COLLAGE,","NR. GAYATRI MARBLE,",PORBANDAR,Porbandar ,99251 70871   ,PORBANDER,NO TIN,99251 70871
SHRI HARI AUTO PARTS - BHUJ,"B-3, R.T.O. RELATION,",MADHAPAR BY PASS HIGHWAY,,BHUJ   ,   ,BHUJ,,9428483414
SHRI HARI AUTO PARTS - DEHGAM,"UMIYA SHOPPING CENTRE,",OPP. HANUMAN MANDIR,AHMEDABAD HIGHWAY ROAD,Dehgam   ,   ,DEHGAM,,9427325681
SHRI HARI AUTO PARTS - SEVALIA,"STATION ROAD,", , ,Sevalia    388 245,02699-233128      ,SEVALIA, , 9913980149
SHRI HARI AUTOMOBILES - BHUJ, , , ,Bhuj  ,       ,BHUJ, , 
SHRI HARI OM OIL CENTRE - PORBANDAR,"NEAR RAILWAY CROSSING,","JUBILEE ROAD,",,Porbandar 360 575,9428573266   ,PORBANDER,24110101395,9428573266
SHRI HARIDARSHAN MOTOROS - RAJKOT,"NEAR PDM COLLAGE,","RAMNAGAR CORNER,","GONDAL ROAD,",Rajkot   360 002,2382309   ,rajkot,,
SHRI HARSIDDHI AUTOMOBILES - RAJKOT,"GONDAL ROAD,","OUT SIDE OCTROI NAKA,","OPP, GLOTAK INDUSTRIES, RAJKOT",Rajkot ,0281-2388492   ,rajkot,24090700863,
SHRI HARSIDDHI MARINE & AUTO SPARE - OKHA,"MAIN BAZAR,","OKHA PORT,",,Okha Port  361 350,02892-262661   ,OKHA,,9227662799-97
SHRI J.P. THESIA -  ,"J.J. COMPLEX,", , ,   ,       ,Base Area, , 
SHRI JAGDAMBA AUTO PARTS - TARAPUR,"NEAR VRINDAVAN HOTEL,",TARAPUR CHOKDI,,TARAPUR  388 180,   ,TARAPUR,,9726656547
SHRI JAKSHANI MOTOR STORES-ADALAJ ,"JAMBU CHOWK,","OPP. LALIT MAHAL,",KALIGAM,Ahmedabad ,65224272   ,ADALAJ, ,9824126914
SHRI KHODIAR AUTOMOBILES -  ,"KAMREJ ROAD,", , ,   ,       ,Base Area, , 
SHRI KHODIYAR AUTO PARTS - SARKHEJ,"GANDHINAGAR BAVLA CROSS ROAD,","SARKHEJ,", ,Ahmedabad  382 210 ,26890058 26890578     ,SARKHEJ,24074500164,9898261177
SHRI KRISHNA AUTOMOBILES - ANJAR ,OPP. MARKETING YARD.,BHUJ BHACHAV BY-PASS,ANJAR, Anjar   370 110 ,02836-241614      ,ANJAR, , 
SHRI KRISHNA AUTOMOBILES - MEHSANA,"5, SAMARPAN SHOPPING CENTRE","HIGHWAY,", ,Mehsana    ,(02762)53093      ,Mehsana, , 
SHRI KUBER ENTERPRISE - RANOLI,"16, MARUTI COMPLEX,",G.I.D.C.,RANOLI,Ranoli 391 350,0265-2308889   ,RANOLI,,9825141399
SHRI LAL AUTO PARTS - SAYLA,"J.M. SHOPPING CENTRE,","JASAPAR ROAD,","N.H.NO - 8-A, SAYLA",Sayala ,9427668290   ,SAYLA,NO TIN,9427668290
SHRI LAXMEE AUTOMOBILES -DHANDHUKA,"OPP. S.T. STAND,",,,Dhandhuka  382 460,02713-223620   ,DHANDHUKA, ,9825721198
SHRI LAXMI AUTO PARTS -  MANSA,"101,BHAGWATI SHOPING CENTRE,","OPP. COLLAGE,", ,Mansa   382 845 ,"02763-71252 R-7 0457,70642    ",MANSA, , 
SHRI LAXMI AUTOMOBILES - KHAMBHAT," JAKATNAKA,","SHOP NO.16, "," MUNCIPAL SHOPPING CENTRE,",KHAMBHAT   388 620,02698)222877 (O)P.P.221195  ,KHAMBHAT, ,
SHRI LAXMINARAYAN AUTO PARTS -  DAHOD,"4219 SHREEJI BUILDING,","SARDAR CHAWK,", ,Dahod   389 151  ,(02673)O-240182      ,DAHOD, 24180400493, 
SHRI MAHAKALI AUTO PARTS -LAMBHA,"8, SHREENATH SHOPPING CENTRE","LAMBHA TURNING,","BHAMARIA KUWA BUS STOP, LAMBHA,",Ahmedabad  382 405,25731381  R-25735158   9429200668  ,NAROL, ," 9979857862 , 7878955111"
SHRI MARUTI AUTOMOBILES - KODINAR,"MARKETING YARD,","OPP. RAILWAY STATION,",,Kodinar 362 720,02795-22508 9227563464  ,KODINAR,24021500037,9227563464
SHRI MARUTI SPARES- GANDHINAGAR,"152, RAJSHREE COMPLEX,",NR. RAJSHREE CINEMA,SECTOR 21,Gandhinagar  ,55725707   ,GANDHINAGR, ,
SHRI MATRIMA AIR SYSTEM - KESHOD,"NEAR SIDDHARTH PETROL PUMP,","SASTRI NAGAR, JUNAGADH HIGHWAY",KESHOD,KESHOD  ,9909297927 02871-235004  ,KESHOD,NO TIN,9909297927
SHRI MELDI SPARES - SOLA,"B-6, ANAND COMPLEX,","NEAR SOLA BRIDGE,","THALTEJ, AHMEDABAD - 380 054",Ahmedabad 380 054,079-27467984   ,SOLA,24074303186,"9824413320 , 9574846321"
SHRI NARAYAN TRADERS - PORBANDAR,"JUBILEE ROAD,","NEAR FATAK,",,Porbandar 360 575,2247307   ,PORBANDER,,9225270626
SHRI NILKANTH MOTORS - BHAVNAGAR,"17,G/F HARDIK COMPLEX,","NEAR WHITE ROSE HOTEL, ",NEELAM BAUG,Bhavnagar 364 001,9825332972 24132226  ,BHAVNAGAR, ,9825332972
SHRI NILKANTH TRACTOR PARTS -  ,"5/6, SAKAR COMPLEX-2,","NAGALPUR HIGHWAY ROAD,", ,   ,"(02762)R-64728, 44559    ",Base Area, , 
SHRI NUTAN MOTORS - JIVRAJPARK,"6, AKSHARDHAM COMPLEX,","OPP. SWAMINARAYAN TEMPLE,","132 Ft.RING ROAD, JIVRAJ PARK",Ahmedabad 380 51,9424952773   ,SARKHEJ,NO TIN,"9924952773 , 9429203938"
SHRI PRABHAT AUTO STORES - PORBANDAR,,"SUDAMA CHOWK,",,Porbandar   360 575,0286-2242717   ,PORBANDER,,9825750394
SHRI PRAKASH SALES AGENCY - KADI,"S 51, NEPCHUN MARKET,","OPP PANJRA POL,","CHHATRAL ROAD, KADI",Kadi 382 715,9898791704   ,KADI,24040902212,9898791704
SHRI RAGATIYA SALES & SERVICE - BHAVNAGAR,OPP. JAIN BHOJANALAY SCHOOL,SUTAR WAD,SAKAR BAZAR CORNER,BHAVNAGAR   ,2514121   ,BHAVNAGAR,,9328905510 / 9426439810
SHRI RAM AGENCY - RAJKOT,"OPP. DELHI GUJARAT FARM,",AHMEDABAD HIGHWAY,,Rajkot 360 002,2707781   ,rajkot,24091200627 ,9825431545
SHRI RAM AUTO PARTS - JASDAN,"FIRST FLOOR,","VINOD CHAMBERS,",NEAR S.T. STAND ,JASDAN   360 050,9638809754   ,JASDAN,NO TIN,9638809754
SHRI RAM AUTO PARTS - RAJKOT,"77, TRANSPORTNAGAR,","NEAR MARKET YARD,","8 B, NATIONAL HIGHWAY",Rajkot   360 003,2702879   ,rajkot,,
SHRI RAM AUTO PARTS - TALOD,"17, MARKET YARD,","OPP. JANTA BANK,","MODASA ROAD,",Talod 383 215,9429237657 9879305676  ,TALOD,NO TIN,9429237657/9879305676
SHRI RAM AUTOMOBILES - MODASA,"AJANTA SHOPPING CENTRE,","NR. TVS SHOW ROOM,",GANESHPURA,Modasa   383 315,02774-247479 R-286583  ,MODASA,,9537009870/9426592
SHRI RAM AUTOMOBILES - RADHANPUR,,"PALANPUR ROAD,",,Radhanpur   385 340,   ,RADHANPUR,,9979401718
SHRI RAM CAR CARE - SANAND,"OPP. NANDANVAN SOCIETY,","NEAR SAROVAR RAOD,",SANAND,Ahmedabad  382 110,9327004885 9898930399 9824254056 ,SANAND,NO TIN,9327004885/9898930399
SHRI RAM ENGINEERING CORPORATION - JAMNAGAR, ," K. V. ROAD,", ,Jamanagar    361 001,2555258      ,JAMNAGAR, , 
SHRI RAM TRACTOR PARTS - SAWARKUNDLA,,"OPP. HOMEGAURD OFFICE,","MAHUVA ROAD,",SAVARKUNDLA   364 515,   ,SAWARKUNDLA,NO TIN,9427244352
SHRI RAM TRACTORS - BHAVNAGAR,"3, TIPADA COMPLEX,","DESAI NAGAR,",BHAVNAGAR PARA,BHAVNAGAR  ,9426463282   ,BHAVNAGAR,NO TIN,9426463282
SHRI RAM TRACTORS - BHUJ,"12, HIRA PANNA COMPLEX,","STATION ROAD,",,Bhuj ,320375   ,BHUJ,24010503655,9825380801
SHRI RAM TRADING CO. -  GANDHIDHAM, , , ,Gandhidham    ,       ,GANDHIDHAM, , 
SHRI RAM TYRES - DAKOR,"BELOW RAMKRUPA GUEST HOUSE,","NEART BUST- STOP, ",DAKOR,Dakor ,9426018745   ,DAKOR,24161101084,9426018745
SHRI RAMESHWAR AUTOMOBILES - RANAVAV,,STATION ROAD,,RANAVAV 360 550,   ,RANAVAV,,9909314381
SHRI RANCHHODRAI MOTORS - NADIAD,"12, MUNICIPAL SHOPING CENTRE,","OPP. SOCIAL CLUB,",SHERKHAND TALAV,Nadiad   387 001,   ,NADIAD, ,9825626916
SHRI RANG AUTO TRADERS - NAROL,"LG-16, JALPARI COMPLEX,","NR. AVTAR HOTEL, ","ISANPUR NAROL ROAD,",Ahmedabad 382 443,9825461770   ,NAROL,24071901489,"9825461770 , 8401644676"
SHRI RAVESHI AUTO PARTS - TARAPUR,"NEAR LAXMI VILAS HOTEL,","TARAPUR CHOKDI,","TARAPUR,",Tarapur 388 180,9825855514/9428   ,TARAPUR,,9825855514
SHRI RUSHABH AUTOMOBILES - JAMNAGAR,"C/o. AMIT AUTOMOBILES,","NAGNATH GARE,","KASHIVISHWANATH ROAD,",Jamanagar   361 001,   ,JAMNAGAR,NO TIN,
SHRI SAI AUTO CENTRE - PATAN,PANCHMUKHI COMPLEX,"CHANSMA HIGHWAY,",,Patan   384 265,   ,PATAN,,9800012749 / 9925482803
SHRI SAI AUTOMOBILES - NAVSARI,"11,VINAY PARK,","OPP. NANI CHOVISI,","N.H.NO.8, GREED ROAD,",Navsari 396 445,9824358967      ,NAVSARI,24240201016 Dt:1/7/02,9824358967
SHRI SAIBABA MOTORS - KAPADWANJ,"OPP. ARIHANT MARBLE,","NEAR SUAZ FARM,","NADIAD ROAD,",Kapadwanj   387 620,   ,KAPADWANJ,,9825543056/9925115032
SHRI SANGAM AUTO -  MEHSANA,"Nr. GOODLUCK AUTOMOBILES,","OPP. JYOTI PETROL PUMP,","HIGHWAY, NAGALPUR,",Mehsana   384 002 ,(02762)O-256023 R-240875    ,Mehsana, , 
SHRI SHAKTI MOTORS - AHMEDABAD,"2,KIM SIM COMPLEX,","PANJABI HALL,NR.SWASTIK,","CHAR RASTA,NAVRANGPURA,",Ahmedabad  380 009 ,26442919      ,NARANPURA, , 93270 58405
SHRI SHAKTIMAN AUTOMOBILES -  ,"S.T.ROAD,", , ,   ,(02834)O-31179 R-30856    ,Base Area, , 
SHRI SHANKAR MACHINERY STORES - NAKHTRANA, , , ,Gandhidham    ,       ,GANDHIDHAM, , 
SHRI SIDDHI RATNA TRACTOR SPARES -  ,"9, GANDHI COMPLEX,","CHIKHALI CHAR RASTA,", ,   ,       ,Base Area, , 
SHRI SWAMINARAYAN ACCESSORIES -  ANAND,"5, ASHA CHAMBERS,","BALIAKAKA ROAD,", ,Anand   388 001 ,02692-240277      ,Anand, , 
SHRI SWASTIK AUTO AGENCY - GANDHIDHAM,"SHOP NO.14, PLOT NO.116,","JHANJHARIA COMPLEX,","NR. PLAZA CENTRE,OSLO GOLAI,",Gandhidham   370 201 ,"(02836)238362P. P-221056,231372    ",GANDHIDHAM, , 
SHRI UMIYA AUTOMOBILES - NANACHILODA,"10, SAGAR TENAMENT,","OPP.VITHALESH PETROL PUMP,","N.H.NO.8, NANA CHILODA",Ahmedabad  ,   ,NARODA,,9824090528
SHRI UMIYA AUTOMOBILES - PATAN,"87,SANT RATAN VIJAY MARKET,","OPP.SHAH HOSPITAL,","S. T. ROAD,",Patan    ,"(02766)-30382,R -81859    ",PATAN, , 
SHRI VADWALA AUTO SPARE PARTS - AHMEDABAD,"29, SARATHI SHOPPING CENTRE,","OPP.NAV GUJRAT PETROL PUMP,","JASHODANAGAR CHAR RASTA,N.H.NO:-8,",Ahmedabad   ,P.P.: 5831457      ,AHMEDABAD, , 
SHRI YAMUNA AGENCY - RAJKOT,"7/12, BHAKTINAGR STATION PLOT,",GONDAL ROAD,,Rajkot ,2463033 9825218249  ,rajkot,24090701369,9825218249
SHRI YAMUNAJI TRADERS -  SEVALIA,"GODHARA ROAD,", , ,Sevalia   388 245 ,"(02699) O:33716  R:33381,33729    ",SEVALIA, , 
SHRIJEE MOTORS & PARTS - TALOD,"OPP : G. E. B. ,","MODASA ROAD,", ,Talod   383 215,   ,TALOD, ,9427371379 / 9428768664
SHRIJEE MOTORS -  MEHSANA,"NR. JANAPATH HOTEL,","STATE HIGHWAY,","PALAVASANA,",Mehsana   384 002 ,"02762-51814,519 03 R-50389    ",Mehsana, , 
SHRIJI AUTOMOBILES - BHAVNAGAR,"OPP. S.T. WORKSHOP,", ,CHITRA,Bhavnagar 364 004 ,       ,BHAVNAGAR, , 
SHRIJI SALES - SARKHEJ,"106, NEELKANTH ESTATE,","OPP.JAIPUR GOLDEN TRANSPORT,","GANDHINAGAR BAWALA ROAD, SARKHEJ",Ahmedabad  382 210,30924382   ,SARKHEJ, ,9328197077
Shrinath Tourism Pvt Ltd - Behrampura,"8, GIDC Industrial Estate,","Pirana Road,","Behrampura,",Ahmedabad 380022,   ,NARODA,24060302287,9227591704
SHROF & CO. -  ,"STATION ROAD,", , ,   ,       ,Base Area, , 
SHUBH AUTOMOBILES - BHAVNAGR,,"OPP. KAVERI COMPLEX,","NAVAPARA,",BHAVNAGAR   364 001,0278-3056270   ,BHAVNAGAR, ,9426212022
SHUBH LAXMI AUTOMOBILES - MODASA,"9,CHATURBHUJ COMPLEX,","OPP.AJANTA FURNITURE,","GANESHPURA,",Modasa   383 315 ,02774-248091 320499    ,MODASA, , 9426391090
SHUBH MOTORS - AHMEDABAD,"AMIAKHAND ANAND SOCIETY,","NEAR C.T.M.CHAR RASTA,","N.H.NO-8,",Ahmedabad  380 026 ,       ,AHMEDABAD, , 
SHUBHAM AUTO SALES - DHUMAD,"OPP. YOGESHWAR PETROL PUMP,","N.H.NO - 8, BY PASS,","DUMAD, DIST - VADODARA",BARODA   391740,9426394009   ,DHUMAD,24191900309,9998824055 / 9426394009
SHUBHAM AUTOMOBILES -  GANDHIDHAM, , , ,  ,       ,GANDHIDHAM, , 
SHUBHAM MOTORS -  VAPI,"6, JALARAM COMPLEX,","SELVAS ROAD,","NR.D.C.BANK, CHAR RASTA,",Vapi   396 191 ,0260-2410527      ,VAPI, , 
SHUBHAM MOTORS - AMRELI,"2, SANGHVI DHARM SHALA,","STATION ROAD,",,Amreli   365 601,   ,Amreli,NO TIN,9428343226
SHYAM AUTO PARTS - LIMBDI,"OPP. SAMBHAVNATH PETROL PUMP,",NATIONAL HIGHWAY NO.8,,LIMBADI   363 421,02753-261435 260745  ,LIMBADI,,9824300435
SHYAM AUTOMOBILES - JUNAGADH,"OPP. DEEPAK PETROL PUMP,","RAJKOT HIGHWAY,",,Junagadh 360 002,0288-2661421   ,JUNAGADH,,9374795388
SHYAM AUTOMOBILES - VISAVADAR,"SHYAM COMPLEX,","NEAR GATHANI HOSPITAL,",JUNAGADH ROAD,Visavadar  362 130,02873-222258 R-221544  ,VISAVADAR,,
SHYAM MOTORS & PARTS - GANDHINAGAR,PLOT NO.21,"NEAR 24-27 CHOKADI,OPP.NAGRIK BANK",,Gandhinagar  ,   ,GANDHINAGR,, 9427026060
SHYAM MOTORS -  AHMEDABAD,"57,HAPPY HOME SHOPPING CENTRE,","SHASHTRINAGAR,","ANKUR ROAD, NARANPURA,",Ahmedabad  380 013 ,"7495872, R-7483 423    ",NARANPURA, , 
SHYAM MOTORS - BHAVNAGAR,"PLOT NO.2218/A, SANSKAR MANDAL,","TALAJA ROAD,",,Bhavnagar 364 002,9979707672 9428637374  ,BHAVNAGAR,24140401193,9979707672/9428637374
SIDDHANATH AUTO CENTRE - JAMNAGAR,"PRAMUKH COMPLEX,",NAGESHWAR ROAD,OPP. SONPARI,Jamanagar 361 001,2660701   ,JAMNAGAR,,
SIDDHANATH TRACTOR PARTS - VADHAVAN,"15, CENTRAL POINT COPLEX,","OPP. TRIPAL BANCH,",VADHAVAN G.I.D.C.,VADHVAN ,   ,SURENDRANAGAR,NO TIN,9979237648
SIDDHESHWARI AUTO GARAGE - VISNAGAR,SHOP NO.166,"SONA COMPLEX,","KANSA CHAR RASTA,",Visnagar   384 315,   ,VISNAGAR, ,9426320250
SIDDHESHWARI AUTO PARTS & GARAGE,"TAVDIA CHAR RASTA,","NR. DARMENDRA AUTOMOBILES,",,Siddhpur   384 151,   ,SIDHPUR,,9913483699
SIDDHESHWARI MOTORS - AHMEDABAD,"3rd FLOOR, H. K. HOUSE,","OPP. DRIVE IN CINEMA,",BODAKDEV,Ahmedabad  380 051,26840680   ,NARANPURA,24573605903,9909971431
SIDDHI MOTORS - PETLAD,"OPP. G.E.B.,","NEAR RAILWAY STATION,","NADIAD CAMBAY HIGHWAY,",Petlad  388 450,9429031303   ,PETLAD,NO TIN,9429031303
SIDDHI TRADERS - DHOLKA,"OPP, PARSHVANATH HOSPITAL,","NEAR RANOLA CHOKDI,","KALI KUND ROAD, DHOLKA",Dholka ,9898239825   ,DHOLKA,24074801589,9898239825
SIDDHNATH MOTORS - JAMNAGAR,"KHODIYAR COLONY,","OPP. RAJ CHAMBERS,","AIR FORCE ROAD,",Jamnagar 361 006,0288-2712604   ,JAMNAGAR,24100600374 ,9825780324/9909017816
SILVER AUTO STORES - RAJULA,"NEAR POST OFFICE,","Petrol Pump Road,", ,Rajula 365 560 ,(02794)O-22632. R-22794    ,RAJULA, , 9824882471
SILVI MOTORS - SARKHEJ,"LAXMI BUILDING OPP.NAVJIVAN HOTEL,","SANAND CROSS ROAD,","S. G. HIGHWAY, SARKHEJ",Ahmedabad  382 210,25507396   ,SARKHEJ,,9825486295/9427012586
SIMRAN MOTORS -  AHMEDABAD,"R.R. ESTATE,","SARKHEJ BAVLA X ROAD,","SARKHEJ,",Ahmedabad  382 210 ,       ,SARKHEJ, , 
SIRISH & CO. -  BARODA,"POOL BARI NAKA,","SALATWAD,", ,BARODA   390 001 ,       ,BARODA, , 
SIRISH AUTO CORPORATION -  BARODA,"POOLBARINAKA,","SALATWADA,", ,BARODA   390 001 ,"0265-2427774, 2435320    R-23220709  ",BARODA, , 98250 61628
SIRISH AUTO CORPORATION - SURAT ,"2/1273, POPAT STREET,","GULAB NIVAS, OPP.SUB JAIL,","RING ROAD, SANGRAMPURA,",Surat    395 003,8351718      ,SURAT, , 
SIRISH AUTOMOBILES -  ,"G-4, KADAMBARI COMPLEX,","BOLAV,", ,   ,49327      ,Base Area, , 
SITARAM MOTORS -  ,"5, HIRABHAI TOWER,","UTTAMNAAR,","ISANPUR ROAD, MANINAGAR",Ahmedabad   ,R-5324112      ,AHMEDABAD, , 
SMRUTI CORPORATION -  , ,"MIRZAPUR,", ,Ahmedabad   ,       ,AHMEDABAD, , 
SOARES & SONS - GODHARA,"C/o KENNYBHAI,","DR. GIDVANI ROAD,","DADI CHAWL,",Godhra   389 001,02672-242309 253178 R-242808/249817 ,GODHRA, ,9879115283 /94265 97167
SOHAM AUTOMOBILES - VIJAPUR ,"12,SHRI RAM SHOPPING CENTRE,","OPP.BHARAT PETROL PUMP,","HIGWAY ROAD,",Vijapur   382 870 ,02763-224505      ,VIJAPUR, ,9426521305 
SOHIL AUTOMOBILES - BHAVNAGAR,"SUTHARWAD,", , ,Bhavnagar 364 001 ,9879009999     ,BHAVNAGAR,24140502359 , safi-9825391222 /9879009999
SOHIL MOTORS - BHAVNAGAR,"OPP. KAVERI CORPORATION,","BEHIND HIGHT COURT,", , Bhavnagar   364 001 ,0278-2423035 251430  R-2428781  ,BHAVNAGAR, 24140502665 , 9879009999
SOLAR BATTERY SERVICE - SABARMATI,"156, SUNRISE SHOPPING CENTRE,","OPP. VISAT PETROL PUMP,",SABARMATI,Ahmedabad  380 005,9824161101 9723013831  ,SABARMATI, 24073201647,9824161101/9723013831
SOMNATH AUTO PARTS - MANSA,"NEAR. CHARVAD,","VISNAGAR ROAD,", ,Mansa    ,(02763)O-70880 R-72212    ,MANSA, , 
SOMNATH TRACTOR & BEARING - MEHSANA,"G-9 A.B. PATEL TOWER,",MEDHERA CHAR RASTA,,Mehsana    ,02762-645430   ,Mehsana,24040705141,9879589186
SONAL AUTO PARTS -  SARKHEJ,"SHOP NO.11,AUTO FRIENDS ESTATE,",SARKHEJ CHANGODAR OVER BRIDGE,"B/H MAHAN TRACTOR PVT.LTD.SARKHEJ,",Ahmedabad 382 210,25503315 25504145     ,SARKHEJ, , 
SONAL TRACTOR PARTS -  NADIAD,"19, MUNICIPAL SHOPPING CENTRE,","OPP: SOCIAL CLUB,", ,Nadiad 387 001 ,0268-2565849 (R ) 2557850    ,NADIAD, , 9376090703
SONICO INDUSTRIES (INDIA) - AHMEDABD,"26, SUKRUT INDUSTRIAL ESTATE,","MEMCO,","NARODA ROAD,",Ahmedabad  380 025,25503825   ,MIRZAPUR,,
SONICO TRACTOR CORPORATION -SARKHEJ,"A-16, MILAN COMPLEX,","NEAR SUKHA SAGAR HOTEL,","BAVLA GANDHINAGAR HIGHWAY,",Ahmedabad  382 210,26890198   ,SARKHEJ, ,9898956232
SONICO TRACTOR SPARES - AHMEDABAD,"21, GOLDEN TOWER,","NR, K.B.COMM.CENTRE,","KKHANPUR,",Ahmedabad  380 001 ,O-5506046 (R) 7 470211    ,MIRZAPUR, , 
SONUWALA AUTOMOBILES - VERAVAL,"SABANA COMPLEX,","DHANJI PEER DARGHA,","RAILWAY STATION ROAD, VERAVAL",Veraval ,9825320601   ,VERAVAL,,9825320601
SORATH AUTO PARTS & ACCESSORIES - VERAVAL,"RAVI COMPLEX,","NEW MINAKSHI HOTEL,",JUNAGADH HIGHWAY,Veraval ,9426934750   ,VERAVAL,NO TIN,9426934750
SORATH TRACTORS - JETPUR,"RIAYA RAJ CHAMBERS,","JUNAGADH ROAD,",,Jetpur   ,02823-221716 R-283666  ,JETPUR,,9825930805
SPARES INDIA -  GANDHINAGAR,"555/2,CHIPTYPE SHOPPING CENTRE,","NR.21/30 BUS STOP,","SECTOR-30,",Gandhinagar   382 030,23260414 55738139  R-23225138  ,GANDHINAGR, , 9426707820
SPEED CARRIERS (BOMBAY) PVT.LTD ,"OPP. KHODIYAR MATA MANDIR,","SARDAR PATEL RING ROAD,SANATHAL CHOKADI,",SANATHAL,Ahmedabad  ,32913200   ,SARKHEJ,,
SPEED MOTORS - PALANPUR,NR. HOTEL SON OF INDIA,"AHMEDABAD HIGHWAY,",,Palanpur   385 001,02742-250131   ,PALANPUR, ,9998450421
SPIN INDUSTRIES - AHMEDABAD,"90/22 Chhaganlal Karnaji Estate,","Mehndi Kua, Outside Shahpur Darwaja,",,Ahmedabad  380 006,26932912   ,AHMEDABAD, ,9426016063
